0 1,37430611602472E-05
1 0,000131913473443849
2 0,000996104625900912
3 0,00395357816626214
4 0,0116443301427652
5 0,0277441283661463
6 0,054178432281694
7 0,0875576802506602
8 0,119241078456511
9 0,139795288652296
10 0,142904389717341
11 0,128070367207837
12 0,103105452123858
13 0,0745838704548442
14 0,0485319255525467
15 0,028377141178872
16 0,0154856480937708
17 0,00766690140570828
18 0,00363012848708175
19 0,00152144946388746
20 0,000586525781514117
21 0,000198938309266426
22 6,1616986329067E-05
23 1,52106455121908E-05
24 3,43925037833369E-06
25 7,1786441229275E-07
