0 4,83676813324417E-07
1 4,56568722972956E-07
2 5,64922068914778E-07
3 4,30271386111981E-07
4 5,02363104563797E-07
5 1,08764592177206E-06
6 5,88294135022849E-07
7 7,09532372927599E-07
8 1,97572312071021E-06
9 2,87754479409856E-06
10 1,43190705447213E-06
11 5,11424649285407E-07
12 5,47147756590143E-07
13 4,59192895000785E-07
14 1,89692909468577E-06
15 3,24956988562589E-06
16 1,7225794449777E-06
17 2,1966091991383E-06
18 9,65432225089907E-07
19 9,6364453148963E-07
20 5,50381062149958E-07
21 1,22869121828557E-06
22 2,37614759774618E-06
23 6,51322145179041E-06
24 1,52075377624884E-05
25 1,88874479615994E-05
26 1,47197706824686E-05
27 2,2733642576634E-05
28 5,44485841724365E-05
29 0,000117871598165281
30 0,000202770976411456
31 0,000350432353914649
32 0,000633759818826077
33 0,00115258434575028
34 0,00189066170827073
35 0,00294605737701304
36 0,00462015825221133
37 0,00690322734350822
38 0,00992808902318984
39 0,0134552356322861
40 0,0180971223849306
41 0,0233283112227494
42 0,0295522247425968
43 0,0354812656575447
44 0,0416646262334015
45 0,0475949046502532
46 0,0533618751059635
47 0,0582998267759741
48 0,0618865173798051
49 0,0642079034590069
50 0,0645624888359116
51 0,0632290380630398
52 0,0604579181061473
53 0,056235382961478
54 0,0509135004162506
55 0,0451235784432771
56 0,0388397160566975
57 0,0326631770937983
58 0,0268820403663417
59 0,0215487580082747
60 0,0168847447758616
61 0,0129630926426591
62 0,00983262208869625
63 0,00741353754139369
64 0,0054146157875496
65 0,0036802614283743
66 0,00255618953781859
67 0,00178300298869127
68 0,00119678746324719
69 0,000745330030460474
70 0,000444146738964496
71 0,000290081207073735
72 0,000219927113278074
73 0,000136241718806599
74 6,97934494190894E-05
75 3,92711367365395E-05
76 2,18323491136192E-05
77 1,36231001380712E-05
78 3,38531115519753E-06
79 2,02793910713305E-07
